iter	Passed	Remaining
0	1	153
1	2	118
2	3	105
3	3	93
4	4	92
5	5	93
6	6	91
7	7	86
8	8	83
9	8	78
10	9	77
11	10	75
12	10	73
13	11	72
14	12	71
15	14	74
16	15	73
17	15	72
18	16	70
19	17	69
20	18	68
21	19	67
22	19	66
23	20	65
24	21	64
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	58
31	27	57
32	28	57
33	29	57
34	30	56
35	30	55
36	31	53
37	32	53
38	33	52
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	37	46
45	38	45
46	39	44
47	40	43
48	41	43
49	42	42
50	43	42
51	44	41
52	45	40
53	46	39
54	47	38
55	48	38
56	49	37
57	49	36
58	50	35
59	51	34
60	51	33
61	52	32
62	53	31
63	53	30
64	54	29
65	55	28
66	56	27
67	57	26
68	58	26
69	59	25
70	61	25
71	62	24
72	62	23
73	63	22
74	64	21
75	65	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	70	15
82	71	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	79	6
92	79	6
93	80	5
94	81	4
95	82	3
96	83	2
97	84	1
98	84	0
99	85	0
